objectid,youtubeid,parentid ,filename,title,lender,date,description,subjects,location,latitude,longitude,type,format,rights
a151,,,A151.JPG ,Climbing the Heap ,Friends of Freeport and Frank Passalaqua,2012,"Friends of Freeport and other groups helped their neighbors and friends clean up after Sandy, work that continues today.  It took Frank Passalaqua of Baldwin two weeks to recover from the storm.  ",Hurricane Sandy ,"Freeport, New York ",73.5832,40.6576,Image;StillImage,image/JPG ,Copyright 2023 Long Island Traditions
a35,,,A35.jpg ,The Watchman 1938 Newspaper Headline,New York Heritage Digital Collections,1938-09-22,The 1938 Hurricane attracted widespread media attention. ,The Long Island Express; 1938 Hurricane,,,,Image;StillImage,image/jpg,Copyright 2023 Long Island Traditions
a49,,,A49.jpg,1954 Jetty Construction,"New York State Office of Parks, Recreation and Historic Preservation",1954,1954 Jones Beach Jetty under construction,Hurricane Protection; Coastal Zone Management ,"Wantagh, New York ",73.5081,40.5963,Image;StillImage,image/jpg,Copyright 2023 Long Island Traditions
a47,,,A47.jpg,1991 Nor'easter,Newsday; John H. Cornell Jr. ,1991-10-31,"In 1991 a major Nor’easter struck Long Island, causing catastrophic damage to ocean front homes.  This aerial view shows a Fire Island home was washed away by the surge. ",1991 Nor'easter,"Fire Island, New York ",73.1459,40.6476,Image;StillImage,image/jpg,Copyright 2023 Long Island Traditions
a57,,,A57.JPG ,Miniature Bay House Interactive [1/4] , Long Island Maritime Museum; Kevin Braunlich ,,"South shore bay houses have always been in harm’s way. However, inhabitants use the resources around them to find creative ways to mitigate environmental damage. Check out the bagged clam shells in the bottom of this photograph to see a vernacular form of storm protection used by bay house owners. ",Bay Houses; Tangible Cultural Heritage ,,,,Image;StillImage,image/JPG ,Copyright 2023 Long Island Traditions
a058,,a57,A058.JPG ,Miniature Bay House Interactive [2/4], Long Island Maritime Museum,,"South shore bay houses have always been in harm’s way.  The Barratt and Port Williams houses were destroyed by the 1992 nor’easter and Sandy.   The Stensil and Baer houses survived both storms. Some credit the use of a trap door in the floor to their survival.  Models by Jeff Blossom, former bay house owner",Bay Houses; Tangible Cultural Heritage ,,,,Image;StillImage,image/JPG ,Copyright 2023 Long Island Traditions
a059,,a57,A059.JPG ,Miniature Bay House Interactive [3/4], Long Island Maritime Museum,,"South shore bay houses have always been in harm’s way.  The Barratt and Port Williams houses were destroyed by the 1992 nor’easter and Sandy.   The Stensil and Baer houses survived both storms. Some credit the use of a trap door in the floor to their survival.  Models by Jeff Blossom, former bay house owner",Bay Houses; Tangible Cultural Heritage ,,,,Image;StillImage,image/JPG ,Copyright 2023 Long Island Traditions
a060 ,,a57,A060.JPG ,Miniature Bay House Interactive [4/4], Long Island Maritime Museum,,"South shore bay houses have always been in harm’s way.  The Barratt and Port Williams houses were destroyed by the 1992 nor’easter and Sandy.   The Stensil and Baer houses survived both storms. Some credit the use of a trap door in the floor to their survival.  Models by Jeff Blossom, former bay house owner",Bay Houses; Tangible Cultural Heritage ,,,,Image;StillImage,image/JPG ,Copyright 2023 Long Island Traditions
a118,,,A118.jpg ,Sandy Damage in Freeport and Seaford ,Long Island Studies Institute and Peter Kopher,2012,"The streets of Freeport and Seaford became rivers during Sandy.  Peter and Sally Kopher’s houseboat was one of the victims.  
“The house barge got picked up 3 or 4 feet, went over the top of the pilings that we’re secured to, and was pushed inland about 50 yards.  The floating dock tailed along behind it the whole time.  We were bow to bow with our neighbors’ barge instead of side by side.” -  Peter Kopher. Photo by Ben Jackson. ",Hurricane Sandy ,"Freeport, New York",73.5832,40.6576,Image;StillImage,image/jpg,Copyright 2023 Long Island Traditions
a121,,,A121.jpg,Boardwalk,"Photographs by Dem Lom, Courtesy of Long Island Studies Institute",2012,“There was a very weird dynamic that you only had to drive 15 minutes away and there were people who didn’t have to deal with any of this.  My grandmother’s house had four feet of water in the basement.”  -  State Senator Todd Kaminsky ,Hurricane Sandy,,,,Image;StillImage,image/jpg,Copyright 2023 Long Island Traditions
